id,name,type,industry,Industry and number
Cert_23bc88ac81643991c5222159985f22301e7df3cb3acabcf879a83927fae56d2e,23bc88ac81,Cert,  ,"[['B', 5], ['A', 3], ['  ', 14], ['AB', 3]]"
Cert_6dc08ee8c7f730d7f3ca4ca77c2f57128e6c5e20f5dc505d6fb6479e1ac0b466,6dc08ee8c7,Cert,  ,"[['AB', 1]]"
IP_21ce145cae6730a99300bf677b83bbe430cc0ec957047172e73659372f0031b8,3.234.xxx.xxx,IP,  ,"[['  ', 50], ['A', 9], ['B', 4]]"
IP_e510542a72186a310583ff92593934e2bf81c8ed93d54b9c8efa96f6a1ed1cd4,104.164.xxx.xxx,IP,  ,"[['AB', 2], ['  ', 1], ['B', 1]]"
IP_ad953bb796bc8c839d0e2d73e9d176ddd90f357ea68a1ed1860664d2f7a32178,104.164.xxx.xxx,IP,  ,"[['B', 2], ['  ', 1]]"
IP_7c93966d4e250b06f774f84e24b05dd01d057291d840d9e5c1b3e350c12c42e6,104.27.xxx.xxx,IP,  ,"[['  ', 40], ['B', 2], ['A', 1]]"
IP_609bbcc1e63b5176162def8dcd4261e4d4365d7e7f63874f296cbc28752ea9df,104.27.xxx.xxx,IP,  ,"[['  ', 40], ['B', 2], ['A', 1]]"
IP_352d5b821c24368aeb3124b7b3b3dba7e1ebd1bf5ea60a596c91222ff8ff9d3c,104.164.xxx.xxx,IP,  ,"[['AB', 2], ['A', 2], ['  ', 1], ['B', 1]]"
Cert_0f058078324ca55349377aa21a4ac47f79de4ac5e0bad4b195db426126d73d0c,0f05807832,Cert,  ,"[['AB', 6], ['  ', 1]]"
IP_6d84fc9df26e91db14a14a0e91c41dd712eb1edf2aff6fe80ee8c1992604c264,104.164.xxx.xxx,IP,  ,"[['  ', 4], ['B', 2]]"
IP_128724e0c52033719ee2ef8c1eea5d4a5c4b61798da97b66b2135139a9f233c8,104.164.xxx.xxx,IP,  ,"[['  ', 4], ['A', 2]]"
IP_0dcfadae42f5a6bd8682baddb9705713d34b2b85fc6ec90cc549daf94a574939,104.164.xxx.xxx,IP,  ,"[['  ', 4], ['A', 1]]"
IP_cd4bcc34a8cf0ec533601a7b0b7d55bbe990c53c32771943b51381c95b6341b2,104.164.xxx.xxx,IP,  ,"[['  ', 3], ['A', 2]]"
IP_799a84c3bf7a301aa4db4d098964b37cde8a56d1b467a569bd64f1cefc62c7f3,104.164.xxx.xxx,IP,  ,"[['  ', 3], ['A', 1], ['B', 1]]"
IP_1e8acf52ec45ded69bce53369996b384cb46d445d3354ba8664b25204877f69c,104.164.xxx.xxx,IP,  ,"[['  ', 2], ['A', 2]]"
IP_653f36a9844f01be9a2fdc87b474c550ca69a92f20574340f719e5f796c06732,13.58.xxx.xxx,IP,  ,"[['  ', 550], ['B', 23], ['A', 11]]"
IP_88e5575b1c7632a5640ae4eb269688e6eb25e4a88b703bb9e241026d68c7944b,3.133.xxx.xxx,IP,  ,"[['  ', 550], ['B', 23], ['A', 11]]"
IP_f4648e604de22a9f24e6a43b7ae8a1abcc4878700c05c4fc3a87f34e9d810876,3.139.xxx.xxx,IP,  ,"[['  ', 291], ['A', 2], ['B', 6]]"
Cert_8584c12c77fd70bf35cf5c97ce2f76a3a6d6c8ab3728ef6f697a931aa0fb9909,8584c12c77,Cert,  ,"[['AB', 3], ['A', 1]]"
Cert_2a5008ab17cd027be9d4855903225b0845fbce0ca38c6a1b35bf04426352408a,2a5008ab17,Cert,  ,"[['B', 16], ['AB', 4], ['A', 3], ['  ', 10]]"
IP_2a72acc7212c12699de8da3777431ac697c812a1f3c6d5cbc12ccb6d64b0132a,64.32.xxx.xxx,IP,  ,"[['B', 1], ['A', 1]]"
IP_bb349d3fbd5c676c5917e41770d43756051bba0975accacc46ca25a52a248df1,172.255.xxx.xxx,IP,  ,"[['A', 1], ['  ', 2], ['AB', 1]]"
IP_4141bfddcdad26b7ee8031d650c8a9f93f079d510ab522e71e890b7d800bbc38,154.203.xxx.xxx,IP,  ,"[['  ', 6], ['A', 3]]"
IP_915b4a58bf5a75b0451938ecf2cbd9a1d40abf4c85251c8d82d5c7d9a10c4b99,154.93.xxx.xxx,IP,  ,"[['A', 2]]"
IP_39c8d30f354f00a381ca42237c0ebed83074798c11f19d2e82c8f996d143594a,64.32.xxx.xxx,IP,  ,"[['AB', 14]]"
IP_e939ab5edf86f518f993cc3dba74288830a89ea8dd68a6b3cc54cd6f917ad4e4,23.230.xxx.xxx,IP,  ,"[['  ', 2], ['A', 2]]"
IP_c40a72b78ed87cac680379bbb7b78b0cad23ad6cf4490fa6cb63bfcf2d45605a,185.153.xxx.xxx,IP,  ,"[['  ', 1], ['A', 1]]"
IP_521d9684124342cb0ed7326153efa71e5ec974733ba35074c64f3fc2f2bb9a0a,23.230.xxx.xxx,IP,  ,"[['  ', 3], ['A', 3]]"
IP_d1887901ef730f959156d3a12003ec871bc629a4d7f5f28e4b12e78563a5fd24,185.153.xxx.xxx,IP,  ,"[['  ', 2], ['A', 2]]"
IP_876004d5f18795e3d9c6187cc5ef0acb299cef5512c417163f83505a524132f8,154.85.xxx.xxx,IP,  ,"[['  ', 3], ['A', 3]]"
IP_96a7c50a6373585df490b0fc015d30cc0b48b155c736919cef23073d60dd5525,162.209.xxx.xxx,IP,  ,"[['A', 11]]"
IP_2d599df2d1b1e187228076a7c9553b55faa86249e76ceb60459cbb33d6331c5f,107.186.xxx.xxx,IP,  ,"[['A', 3], ['  ', 1]]"
Cert_050359ff6d4159c3177bbedb71d2a8498be2400a5b508f631a196b511f0ef164,050359ff6d,Cert,  ,"[['AB', 11]]"
IP_d213b7fc056fef2c48a5740fb1b1af21b996e213e3980226a65c2ac0e56a2cea,104.164.xxx.xxx,IP,  ,"[['  ', 4]]"
IP_92ae01ec598a6fe6b0e178d119f52e0e948d530565e4dd913b3a9ab7997c3ce2,104.164.xxx.xxx,IP,  ,"[['  ', 5], ['B', 4], ['A', 2]]"
IP_d732735785e10ffa9490365c2ebbf4a38f164f22fe27ee9b8b48d7c3252cbacf,107.167.xxx.xxx,IP,  ,"[['A', 14], ['AB', 6], ['  ', 4]]"
Cert_39e87a012d20aa47c6342af0b482f682df8013e6d45829e6f180ac3092b48e0e,39e87a012d,Cert,  ,"[['A', 4], ['AB', 2]]"
IP_a0f4e77ab7d31dbfa75aac13328a8468ceb978c6a0f485a5d44e03306a0361a8,64.32.xxx.xxx,IP,  ,"[['B', 1], ['A', 2], ['  ', 1]]"
IP_d7ca65a666d056e25d03515220aca38cec4a462c492296c04319e2c4dc0e4a0d,180.97.xxx.xxx,IP,  ,"[['  ', 137], ['A', 1]]"
Cert_9e178c9ac538afc78ed32cbb0aaf9d89bcc678d6c44bf3ff44101c831014d847,9e178c9ac5,Cert,  ,"[['B', 96], ['AB', 3]]"
Cert_9019f555ecf55ba05b8b912cc2a94513d9a0f76f736219935a99bd156ee4fea3,9019f555ec,Cert,  ,"[['B', 17], ['  ', 5], ['A', 1]]"
Cert_cd4c9bb0fb7a720ebb7d07a18621bda312803e6382b851087b55f73e66ebccd0,cd4c9bb0fb,Cert,  ,"[['A', 1], ['AB', 1]]"
IP_52001e72a76ad97c88eafe34f05084ee959fee188ddbbf0fe87a24f986a3b6cb,142.111.xxx.xxx,IP,  ,"[['  ', 41], ['B', 6], ['A', 1]]"
IP_e18c08456263011cae5169bf09c082327666dfa58edfffa6bc2b2c1916d116c0,103.107.xxx.xxx,IP,  ,"[['  ', 10], ['B', 3]]"
IP_0d5d51e1b522c2f03547d64ffb9661d1455f53344c2efc3b1b03c50cad5fe669,172.67.xxx.xxx,IP,  ,"[['A', 17], ['  ', 9], ['B', 1], ['AB', 1]]"
IP_fb4022f309ba3202ba8bad43c418f7d7a97ec59e793168c67f31434f545dc636,104.21.xxx.xxx,IP,  ,"[['  ', 81], ['A', 13], ['AB', 2], ['B', 2]]"
IP_6b2cb5c7ae3811185adc3333c4d182a3145af0645ef2df01911b56283f587d17,172.67.xxx.xxx,IP,  ,"[['  ', 82], ['A', 13], ['AB', 1], ['B', 2]]"
